integrator,problem,dt,mean_time,std_time,rms_error,max_error,position_rms,velocity_rms,energy_drift,max_energy_drift,n_steps,n_evaluations
RK45 (Adaptive),Simple Harmonic Oscillator,0.001,0.04739079999853857,0.0002750009992091457,1.3862116198096546e-07,2.4042854999501984e-07,9.729958311170738e-08,9.873508836903431e-08,4.799197439453451e-07,2.3995987197267254e-07,1410,9102
RK45 (Adaptive),Simple Harmonic Oscillator,0.0005,0.04746044999337755,0.00014221107906733807,1.3851692294893684e-07,2.4039733833310157e-07,9.72787097034127e-08,9.860928243162943e-08,4.798573973729958e-07,2.399286986864979e-07,1411,9120
RK45 (Adaptive),Simple Harmonic Oscillator,0.0001,0.04736923000309616,0.0002460250253506866,1.384702145130605e-07,2.404016923454304e-07,9.724421497895063e-08,9.857770011732177e-08,4.798660782068254e-07,2.399330391034127e-07,1412,9126
Velocity Verlet,Simple Harmonic Oscillator,0.5,0.0010789699968881904,1.8572174615401414e-05,0.5977758539734471,1.020090114068246,0.42415479115401106,0.4212228445072527,0.016583708609162695,0.031249717735797822,200,201
Velocity Verlet,Simple Harmonic Oscillator,0.2,0.002689729997655377,1.353499500382948e-05,0.09660297975498557,0.1690366743958965,0.0686601327154209,0.06795529319370888,0.0012644325376237608,0.004999908448164114,500,501
Velocity Verlet,Simple Harmonic Oscillator,0.1,0.005426419997820631,3.1601772349493834e-05,0.024100484269567974,0.04224048890601569,0.017133695092126665,0.01694903638906142,0.000552168121187302,0.0012499952806792058,1000,1001
Velocity Verlet,Simple Harmonic Oscillator,0.05,0.010768249997636304,2.4048961354528394e-05,0.006020837472407632,0.01055697369715785,0.004280924524309234,0.004233694496100974,0.0001546001911750805,0.0003124999937334505,2000,2001
Velocity Verlet,Simple Harmonic Oscillator,0.02,0.026733170001534745,8.441117724044156e-05,0.0009630923304828581,0.0016889414652997612,0.0006848402466120613,0.0006771563140481182,2.549519575478776e-05,4.9999999994221334e-05,5000,5001
Velocity Verlet,Simple Harmonic Oscillator,0.01,0.0538198999944143,0.0004478987213517092,0.00024076067896522266,0.00042223003043200707,0.00017120728833341147,0.00016927424186011033,6.40105923066514e-06,1.2499999257231664e-05,10000,10001
Velocity Verlet,Simple Harmonic Oscillator,0.005,0.10694112000637687,0.0002202460984581975,6.018899025009481e-05,0.00010555713262154898,4.280177651809113e-05,4.2316928931828106e-05,1.6019699935476694e-06,3.12499998711413e-06,20000,20001
Velocity Verlet,Simple Harmonic Oscillator,0.002,0.26809742000186815,0.001278817484812327,9.63014696700888e-06,1.6889171912887243e-05,6.848297543472097e-06,6.77056506964259e-06,2.56391603725703e-07,4.999999992927329e-07,50000,50001
Velocity Verlet,Simple Harmonic Oscillator,0.001,0.5367240600055083,0.0012621405833927977,2.40751799300878e-06,4.222166498418729e-06,1.7120670981904744e-06,1.6926219713671078e-06,6.410065855888547e-08,1.250000093988568e-07,100000,100001
Velocity Verlet,Simple Harmonic Oscillator,0.0005,1.0721444900147616,0.0012806930100425214,6.017571174008728e-07,1.0552748203441194e-06,4.2793014938330735e-07,4.230690435276353e-07,1.602529864364044e-08,3.125000691550639e-08,200000,200001
Velocity Verlet,Simple Harmonic Oscillator,0.0001,5.896619819995249,0.7560379057833673,2.310104012785327e-08,4.002998590510553e-08,1.6424317315529352e-08,1.6244994789395583e-08,6.410365571696275e-10,1.2500360746514616e-09,1000000,1000001
Forward Euler,Nonlinear Pendulum,0.5,0.00027686000103130934,4.572623587424031e-05,82.89917739432882,163.3276704344379,82.8182836044669,3.6613540482293803,4.637977610177154,10.561413446463074,100,100
Forward Euler,Nonlinear Pendulum,0.2,0.0004985100065823644,3.496660603146121e-05,59.504209855424726,118.53477388554633,59.43926681192771,2.7793077157620045,2.606567299581923,5.139615897630698,250,250
Forward Euler,Nonlinear Pendulum,0.1,0.0010019800043664872,6.054403891801182e-05,44.4955665481167,88.89724726492746,44.43993692738327,2.2242860265887883,1.2786250568896507,2.4366453749481596,500,500
Forward Euler,Nonlinear Pendulum,0.05,0.002453960001002997,0.000538620427174478,30.024703963731373,59.636716669665404,29.972889608212192,1.7631609806344846,0.6178746669653216,1.1692060547238001,1000,1000
